[[[1045.1719   439.06235]
  [1048.3419   503.6148 ]
  [1001.2476   503.71167]
  [ 974.6673   568.5108 ]
  [1018.78766  574.464  ]
  [1095.4042   500.77805]
  [1118.9648   562.7076 ]
  [1071.9233   571.425  ]
  [1048.2034   647.90155]
  [1018.8505   647.9021 ]
  [1021.9449   762.63837]
  [1042.3915   859.9468 ]
  [1074.8458   645.17865]
  [1095.3864   759.7791 ]
  [1107.106    862.91003]
  [1027.6345   435.99982]
  [1045.4482   433.0971 ]
  [1018.7947   447.82794]
  [1063.0067   436.01245]
  [1115.8568   906.9869 ]
  [1118.9773   898.22906]
  [1095.4789   877.6242 ]
  [1018.89215  886.4794 ]
  [1010.043    883.3478 ]
  [1048.3362   871.73285]]

 [[ 910.0276   412.64624]
  [ 883.6114   462.70102]
  [ 836.2821   459.7361 ]
  [ 806.8793   533.3366 ]
  [ 862.93024  577.3922 ]
  [ 936.47894  468.47003]
  [ 954.28656  547.8348 ]
  [ 951.3026   606.832  ]
  [ 883.55     624.36053]
  [ 854.00446  624.3606 ]
  [ 848.17554  742.3354 ]
  [ 839.2847   859.89087]
  [ 924.5659   624.3768 ]
  [ 910.0457   745.09546]
  [ 904.0612   856.9747 ]
  [ 904.1056   406.6341 ]
  [ 924.5692   409.46484]
  [ 880.42896  409.58273]
  [   0.         0.     ]
  [ 904.10254  883.58044]
  [ 921.7108   883.37683]
  [ 895.2045   862.8666 ]
  [ 845.26685  886.3909 ]
  [ 830.55023  883.5239 ]
  [ 842.30725  871.7139 ]]

 [[1098.3524   415.57236]
  [1162.9233   477.26782]
  [1169.027    471.4001 ]
  [1165.9944   565.56714]
  [   0.         0.     ]
  [1154.1917   480.17685]
  [1160.1295   574.4367 ]
  [1124.8046   653.8522 ]
  [1163.0205   674.5513 ]
  [1163.0651   674.5525 ]
  [1148.3416   818.79224]
  [1160.1488   933.4638 ]
  [1162.9518   674.5939 ]
  [1168.922    824.61194]
  [1177.789    954.1049 ]
  [   0.         0.     ]
  [1110.0568   409.5746 ]
  [   0.         0.     ]
  [1133.5795   412.49475]
  [1121.873    971.73096]
  [1139.5254   974.8287 ]
  [1189.4976   974.5845 ]
  [1118.8634   939.4386 ]
  [1121.8549   930.6085 ]
  [1165.9365   948.2188 ]]]
