[[[1054.1761   415.568  ]
  [1092.4475   459.7388 ]
  [1054.2174   462.61426]
  [1045.3356   530.2674 ]
  [1036.4948   577.49243]
  [1121.9718   459.66696]
  [1136.4711   536.1265 ]
  [1069.0072   589.2088 ]
  [1086.5531   618.4833 ]
  [1057.1034   615.6374 ]
  [1066.0068   730.4515 ]
  [1068.8549   833.41266]
  [1113.0923   618.49255]
  [1118.9957   733.3989 ]
  [1130.6613   839.305  ]
  [1051.3175   409.67856]
  [1068.799    409.69214]
  [   0.         0.     ]
  [1095.3405   412.5007 ]
  [1110.1191   859.9851 ]
  [1124.8914   860.09344]
  [1136.5544   854.0872 ]
  [1063.051    856.9987 ]
  [1048.2349   854.01874]
  [1071.9235   842.2146 ]]

 [[ 907.0359   456.80072]
  [ 939.41833  503.73663]
  [ 906.87946  506.62735]
  [ 901.1152   571.4786 ]
  [ 883.4456   624.3976 ]
  [ 974.8542   500.7873 ]
  [1018.7677   547.96387]
  [1004.1049   603.8255 ]
  [ 933.5683   630.3131 ]
  [ 910.0058   630.3395 ]
  [ 910.05505  727.47125]
  [ 924.5624   812.8964 ]
  [ 957.13586  627.49896]
  [ 965.88245  727.4839 ]
  [ 974.68274  812.99646]
  [ 906.8921   453.75363]
  [ 912.9704   453.69885]
  [   0.         0.     ]
  [ 939.4387   456.6179 ]
  [ 957.11816  836.46765]
  [ 974.7605   836.4418 ]
  [ 974.7519   827.5592 ]
  [ 898.23444  833.5104 ]
  [ 892.30286  830.4304 ]
  [ 930.4491   824.639  ]]

 [[ 830.47095  483.2225 ]
  [ 812.8968   527.17206]
  [ 777.57263  515.56903]
  [ 736.2076   518.4494 ]
  [ 692.2097   503.78442]
  [ 856.83655  527.42584]
  [ 859.84814  583.3465 ]
  [ 842.25745  639.19684]
  [ 803.93585  645.0884 ]
  [ 774.5706   644.9858 ]
  [ 774.54736  736.2265 ]
  [ 780.43677  809.75555]
  [ 827.5595   645.1906 ]
  [ 830.50165  730.4699 ]
  [ 833.4785   809.9483 ]
  [ 815.74945  480.17877]
  [ 833.4045   477.34152]
  [ 795.17993  483.1054 ]
  [ 833.59924  480.30685]
  [ 839.3282   830.4933 ]
  [ 856.8421   821.684  ]
  [ 830.40607  815.85583]
  [ 756.91534  827.5988 ]
  [ 748.0777   815.87604]
  [ 786.37445  812.8732 ]]]
