[[[1004.17175  288.85208]
  [1051.2614   365.49902]
  [ 980.69604  377.17224]
  [ 960.07764  477.31488]
  [ 960.02136  509.6733 ]
  [1119.0793   359.57153]
  [1166.0363   480.15564]
  [1048.3164   530.19916]
  [1048.4066   615.6552 ]
  [1001.2339   612.71906]
  [1024.8252   795.13324]
  [1042.4545   954.13495]
  [1098.2781   615.66174]
  [1116.0316   789.41327]
  [1127.8115   962.95294]
  [1001.2331   271.33517]
  [1024.6978   271.1989 ]
  [   0.         0.     ]
  [1071.7046   283.05106]
  [1098.2758  1015.88104]
  [1121.9292  1012.9774 ]
  [1139.4167   977.7153 ]
  [1021.7829  1001.0933 ]
  [1004.1042   992.40027]
  [1051.2761   971.7961 ]]

 [[ 768.74176  362.4445 ]
  [ 821.7084   436.07474]
  [ 765.81635  442.0374 ]
  [ 759.8216   542.0489 ]
  [ 742.0744   627.4124 ]
  [ 880.51385  430.15442]
  [ 930.71313  512.6058 ]
  [ 915.82715  600.9184 ]
  [ 815.8834   636.22595]
  [ 783.46136  633.32434]
  [ 786.4547   780.4841 ]
  [ 809.71344  909.9082 ]
  [ 859.799    636.25745]
  [ 860.0617   774.6054 ]
  [ 883.3531   915.85144]
  [ 765.76025  353.63486]
  [ 786.30566  344.8377 ]
  [   0.         0.     ]
  [ 824.58307  359.50073]
  [ 859.98914  954.18445]
  [ 883.5135   954.03827]
  [ 883.50415  927.703  ]
  [ 765.6461   948.2234 ]
  [ 762.7349   933.4702 ]
  [ 815.8355   927.537  ]]

 [[ 633.35803  386.18555]
  [ 647.9561   459.81183]
  [ 592.08014  453.73468]
  [ 506.83215  433.17517]
  [ 436.2009   397.89087]
  [ 709.8299   480.22705]
  [ 718.67554  571.4626 ]
  [ 706.81616  624.626  ]
  [ 621.38354  648.05475]
  [ 577.32227  645.16095]
  [ 580.4159   786.24426]
  [ 592.0656   895.21313]
  [ 656.8956   651.01196]
  [ 668.4414   786.2513 ]
  [ 671.54553  903.94855]
  [ 627.48834  377.2485 ]
  [ 648.07904  383.04602]
  [   0.         0.     ]
  [ 680.441    397.82376]
  [ 674.4919   930.6236 ]
  [ 695.0687   927.6267 ]
  [ 665.723    907.14996]
  [ 547.9446   927.592  ]
  [ 545.02716  912.98706]
  [ 600.9735   906.9988 ]]]
