[[[1018.83716  412.42276]
  [1018.8553   480.17657]
  [ 965.89575  480.17355]
  [ 945.2379   556.8356 ]
  [ 986.4872   621.5153 ]
  [1068.8898   480.11774]
  [1098.3584   565.5597 ]
  [1045.3448   621.6192 ]
  [1018.79944  644.97406]
  [ 977.7244   642.1522 ]
  [ 989.43896  768.74945]
  [1004.19446  883.5003 ]
  [1048.4219   645.04016]
  [1071.7631   765.8893 ]
  [1080.6238   889.3505 ]
  [1001.15094  406.68832]
  [1021.8826   400.83286]
  [ 977.8341   418.4392 ]
  [1030.7091   412.61978]
  [1080.738    930.65216]
  [1095.298    927.7177 ]
  [1071.849    903.9395 ]
  [ 980.62103  915.89655]
  [ 974.7443   907.0458 ]
  [1021.73865  895.27124]]

 [[ 860.04266  385.90817]
  [ 833.51953  442.00296]
  [ 780.42554  436.2651 ]
  [ 742.0781   527.281  ]
  [ 812.7993   556.88904]
  [ 889.3593   447.88293]
  [ 907.0258   527.25555]
  [ 903.95074  577.3002 ]
  [ 833.41705  621.56116]
  [ 792.17487  621.591  ]
  [ 789.2173   762.69305]
  [ 786.25415  883.61584]
  [ 868.7656   621.58075]
  [ 862.8647   759.8995 ]
  [ 856.8615   880.6539 ]
  [ 853.94006  368.39874]
  [ 871.7398   371.3173 ]
  [ 821.62537  383.10187]
  [   0.         0.     ]
  [ 856.95654  912.95215]
  [ 874.5801   909.9332 ]
  [ 842.2865   889.3976 ]
  [ 789.25824  921.69653]
  [ 768.743    915.82794]
  [ 786.4349   901.11194]]

 [[1098.336    383.16537]
  [1163.1057   456.6077 ]
  [1180.7572   453.65503]
  [1157.1759   559.73486]
  [1074.7583   580.3083 ]
  [1148.3378   456.71756]
  [   0.         0.     ]
  [   0.         0.     ]
  [1142.5396   689.1862 ]
  [1157.1675   689.17175]
  [1136.5248   856.92194]
  [1139.6671   977.5582 ]
  [1139.4838   689.2287 ]
  [1148.4438   857.0112 ]
  [1162.9525  1001.2975 ]
  [   0.         0.     ]
  [1104.271    368.3801 ]
  [1168.9633   386.03207]
  [1121.908    380.10342]
  [1092.4651  1024.8081 ]
  [1110.1477  1039.4502 ]
  [1171.9623  1021.91406]
  [1092.5483   980.56866]
  [1098.2871   974.6379 ]
  [1142.5282   983.5228 ]]]
